id,name,category,status,complexity,version,domains,tuple_notation,component_count,type_def_count,property_count,operation_count,manifestation_count,requires,uses,specializes,specialized_by,has_circular_deps
P23,Real-Time Sync,pattern,stable,medium,1.1,,"$rs = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P24,Request-Response API,pattern,stable,medium,1.1,,"$ra = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P25,Streaming Protocol,pattern,stable,medium,1.1,,"$sp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P26,Status Bar/Indicator,pattern,stable,medium,1.1,,"$sb = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P27,Toast/Notification,pattern,stable,medium,1.1,,"$toa = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P28,Progress Indicator,pattern,stable,medium,1.1,,"$P = (current, total, label, eta, state)$",5,2,4,3,5,,P26; P27,,,no
P29,Centralized State Store,pattern,stable,medium,1.1,,"$css = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P30,Command Pattern,pattern,stable,medium,1.1,,"$cp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P31,Observer Pattern,pattern,stable,medium,1.1,,"$op = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P32,Plugin Architecture,pattern,stable,medium,1.1,,"$pa = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P33,Hook System,pattern,stable,medium,1.1,,"$hs = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P34,Strategy Pattern,pattern,stable,medium,1.1,,"$sp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P35,Split-Pane Layout,pattern,stable,medium,1.1,,"$sl = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P36,Selection-Driven Panel,pattern,stable,medium,1.1,,"$sp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P37,Empty State Pattern,pattern,stable,medium,1.1,,"$esp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P38,Badge/Indicator Pattern,pattern,stable,medium,1.1,,"$bp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P39,Contextual Action Menu,pattern,stable,medium,1.1,,"$cam = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P40,Mode Toggle System,pattern,stable,medium,1.1,,"$mts = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P41,Inline Status Chip,pattern,stable,medium,1.1,,"$isc = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P42,Tooltip/Hint System,pattern,stable,medium,1.1,,"$ts = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P43,Application Navigation Drawer,pattern,stable,medium,1.1,,"$and = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P44,Keyboard Shortcut System,pattern,stable,medium,1.1,,"$kss = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P45,Drag and Drop Interaction,pattern,stable,medium,1.1,,"$dadi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P46,Focus Management System,pattern,stable,medium,1.1,,"$fms = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P47,Inline Editing Pattern,pattern,stable,medium,1.1,,"$iep = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P48,Form Validation Pattern,pattern,stable,medium,1.1,,"$fvp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P49,Multi-Step Form (Wizard) Pattern,pattern,stable,medium,1.1,,"$mf(p = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P50,Form Dependency Pattern,pattern,stable,medium,1.1,,"$fdp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P51,Responsive Layout Pattern (NEW),pattern,stable,medium,1.1,,"$rlp( = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P52,Pagination Pattern,pattern,stable,medium,1.1,,"$pp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P53,Filtering Pattern,pattern,stable,medium,1.1,,"$fp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P54,Sorting Pattern,pattern,stable,medium,1.1,,"$sp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P55,Virtualization Pattern,pattern,stable,medium,1.1,,"$vp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P56,Cache Strategy Pattern,pattern,stable,medium,1.1,,"$csp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P57,Data Migration Pattern,pattern,stable,medium,1.1,,"$dmp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P58,Authentication Pattern,pattern,stable,medium,1.1,,"$ap = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P59,Authorization Pattern,pattern,stable,medium,1.1,,"$ap = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P60,Input Sanitization Pattern,pattern,stable,medium,1.1,,"$isp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P61,Unit Test Pattern,pattern,stable,medium,1.1,,"$utp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P62,Integration Test Pattern,pattern,stable,medium,1.1,,"$itp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P63,End-to-End Test Pattern,pattern,stable,medium,1.1,,"$etp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P64,Generative UI,pattern,stable,medium,1.1,,"$G = (T_{lib}, ctx, gen, render, stream) : \text{ctx} \times T_{lib} \to \text{UI}_{dynamic}$",5,4,4,3,4,,P65; P112; P115,,,yes
P65,Streaming Component,pattern,stable,medium,1.1,,"$S = (\tau_{stream}, buf, Q_{render}, sync) : \text{Token} \to \Delta \text{UI}$",4,3,4,3,4,P22; P114,P64; P115,,,yes
P66,Context-Adaptive Interface,pattern,stable,medium,1.1,,"$A = (U_{state}, T_{ctx}, T_{ui}, R_{adapt}) : \text{Context} \to \text{UI}_{morphed}$",4,4,4,3,4,,P64; P67; P136; P137,,,yes
P67,Progressive Disclosure by AI,pattern,stable,medium,1.1,,"$D = (H_{info}, score_{rel}, \sigma_{disc}) : \text{Information} \to \text{Revealed}_t$",3,4,4,3,4,,P3; P37; P66,,,yes
P68,Agent Team Visualization,pattern,stable,medium,1.1,,"$V_{team} = (A_{roster}, R_{roles}, S_{status}, C_{coord}) : \text{Agents} \to \text{Visualization}$",4,4,4,3,4,P14,P69; P71; P93,,,yes
P69,Agent Activity Timeline,pattern,stable,medium,1.1,,"$T_{activity} = (Events, Timeline, Agents, Actions) : Agent 	imes Time 	o Activity_{log}$",4,3,4,3,4,P22,P68; P112; P124,,,yes
P70,Agent Handoff,pattern,stable,medium,1.1,,"$H = (A_{from}, A_{to}, \Sigma_{state}, T_{transfer}, V_{verify}) : \text{Task} \times \text{Context} \to \text{Transfer}$",5,3,4,3,4,P14,P68; P69; P91,,,no
P71,Orchestration Dashboard,pattern,stable,medium,1.1,,"$D_{orch} = (W_{flow}, A_{agents}, M_{metrics}, C_{control}) : \text{Workflow} \to \text{Dashboard}$",4,3,4,3,4,F2.2; P14,P68; P69; P129,,,yes
P72,Agent Role Selector,pattern,stable,medium,1.1,,"$S_{role} = (R_{available}, T_{task}, M_{match}, A_{assign}) : \text{Task} \to \text{Agent} \times \text{Role}$",4,3,4,3,4,P14,P68; P71,,,no
P73,Composite Action,pattern,stable,medium,1.1,,"$C = (A_{atomic}, compose, exec, rollback) : \text{Set}\langle \text{Action} \rangle \to \text{Action}_{composite}$",4,3,4,3,4,P30,P14; P92,,,no
P74,Continuous AI Monitoring,pattern,stable,medium,1.1,,"$M_{cont} = (S_{stream}, D_{detect}, T_{threshold}, A_{alert}) : \text{State}_{stream} \to \text{Anomalies}$",4,3,4,3,4,P22; P112,P27; P75; P129,,,yes
P75,Proactive Intervention,pattern,stable,medium,1.1,,"$I_{proact} = (P_{predict}, T_{timing}, A_{action}, U_{user}) : \text{Context} \to \text{Intervention}$",4,3,4,3,4,,P74; P76; P77; P79,,,yes
P76,Ambient AI,pattern,stable,medium,1.1,,"$A_{ambient} = (C_{context}, M_{monitor}, A_{act}, V_{visibility}) : \text{Environment} \to \text{Assistance}$",4,3,4,3,4,,P74; P75; P77; P78,,,yes
P77,Intelligent Interruption,pattern,stable,medium,1.1,,"$I_{intel} = (L_{load}, M_{moment}, P_{priority}, D_{deliver}) : \text{Interruption} \to \text{Timing}$",4,3,4,3,4,P27,P74; P75; P76,,,yes
P78,Background Task Management,pattern,stable,medium,1.1,,"$B_{task} = (Q_{tasks}, S_{scheduler}, M_{monitor}, N_{notify}) : \text{Task} \to \text{Execution}_{background}$",4,3,4,3,4,,P28; P74; P76,,,yes
P79,Anticipatory Action,pattern,stable,medium,1.1,,"$A_{anticipate} = (P_{predict}, A_{prepare}, T_{trigger}, E_{execute}) : \text{Pattern} \to \text{Action}_{preemptive}$",4,3,4,3,4,,P20; P74; P75; P76,,,yes
P80,Voice Conversation,pattern,stable,medium,1.1,,"$V_{conv} = (I_{speech}, R_{intent}, M_{dialog}, O_{speech}, H_{int}) : \text{Speech} \leftrightarrow \text{Response}$",5,4,4,3,4,,P2; P82; P85,,,yes
P81,Voice Command with Visual Feedback,pattern,stable,medium,1.1,,"$V_{visual} = (I_{voice}, D_{trans}, V_{intent}, UI_{confirm}) : \text{Voice} \to (\text{Command}, \text{Visualization})$",4,3,4,3,4,P80,P82; P85,,,yes
P82,Multimodal Input Fusion,pattern,stable,medium,1.1,,"$F_{multi} = (I_{voice}, I_{gesture}, I_{screen}, E_{fusion}, Intent_{unified}) : \text{Inputs} \to \text{Intent}$",5,4,4,3,4,,P80; P81; P83,,,yes
P83,Voice-First Navigation,pattern,stable,medium,1.1,,"$N_{voice} = (C_{voice}, G_{nav}, S_{shortcuts}, M_{confirm}) : \text{VoiceCommand} \to \text{Navigation}$",4,3,4,3,4,P80,P81; P82,,,yes
P84,Continuous Dictation,pattern,stable,medium,1.1,,"$D_{cont} = (A_{stream}, T_{transcribe}, P_{punctuate}, C_{correct}) : \text{AudioStream} \to \text{Text}_{formatted}$",4,3,4,3,4,P80,P65; P81,,,no
P85,Voice Disambiguation,pattern,stable,medium,1.1,,"$D_{voice} = (I_{ambig}, C_{candidates}, R_{rank}, U_{clarify}) : \text{VoiceInput} \to \text{Intent}_{resolved}$",4,3,4,3,4,,P80; P81; P82,,,yes
P86,Approval Checkpoint,pattern,stable,medium,1.1,,"$A_{check} = (A_{agent}, R_{risk}, P_{pause}, U_{approve}) : \text{Action} \to \text{Approval} \to \text{Execute}$",4,3,4,3,4,,P75; P89; P90,,,yes
P87,Agency Slider,pattern,stable,medium,1.1,,"$S_{agency} = (\alpha, A_{agent}, H_{human}, R_{balance}) : [0,1] \to \text{Control}_{mix}$",4,2,4,3,4,,P86; P88,,,no
P88,Collaboration Mode Switcher,pattern,stable,medium,1.1,,$M_{collab} = (modes\,1,2,3,0,2,,Switch Mode|switch: Mode → Effect|$switch(m) = $ effect where $save(state)$ then $state \leftarrow m$,,,no
P89,Confidence Indicator,pattern,stable,medium,1.1,,$C_{conf} = (score\,1,2,3,0,2,,Calculate|calculate: Prediction → Score|$calculate(p) = P(p | \text{evidence})$,,,no
P90,Explanation on Demand,pattern,stable,medium,1.1,,"$E_{demand} = (action, explain, detail, present) : \text{Action} \to \text{Explanation}$",4,3,4,3,3,,P86; P89; P125,,,yes
P91,Intervention Request,pattern,stable,medium,1.1,,"$ir = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P92,Contextual Undo/Rollback,pattern,stable,medium,1.1,,"$cu = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P93,Agent Thinking Indicator,pattern,stable,medium,1.1,,"$ati = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,yes
P94,Tool Execution Visualization,pattern,stable,medium,1.1,,"$tev = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P14,,,no
P95,Multi-Step Progress,pattern,stable,medium,1.1,,"$mp = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P96,Real-Time Confidence Display,pattern,stable,medium,1.1,,"$rcd = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P97,Resource Usage Indicator,pattern,stable,medium,1.1,,"$rui = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P98,Agent State Timeline,pattern,stable,medium,1.1,,"$ast = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,no
P99,Knowledge Graph Explorer,pattern,stable,medium,1.1,,"$kge = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P100,Source Citation,pattern,stable,medium,1.1,,"$C_{source} = (Sources, Inline_{refs}, Links, Verification) : \text{Content} \to \text{Sources}_{cited}$",4,3,4,3,4,,P9; P101; P102; P103,,,yes
P101,Retrieval Path Visualization,pattern,stable,medium,1.1,,"$V_{path} = (Query, Path_{retrieval}, Nodes_{visited}, Score_{relevance}) : \text{Retrieval} \to \text{Path}_{visual}$",4,3,4,3,4,P19; P99,P100; P104,,,yes
P102,Confidence-Based Highlighting,pattern,stable,medium,1.1,,"$H_{conf} = (Text, Conf_{scores}, Colors, Thresholds) : (\text{Content}, \text{Confidence}) \to \text{Highlighted}$",4,3,4,3,4,,P80; P89; P96; P100,,,yes
P103,Multi-Source Reconciliation,pattern,stable,medium,1.1,,"$R_{multi} = (Sources, Conflicts, Resolution, Display) : \text{Sources} \to \text{Reconciled}_{view}$",4,3,4,3,4,P100,P102; P108,,,yes
P104,Graph Query Builder,pattern,stable,medium,1.1,,"$B_{query} = (G, Q_{visual}, Cypher, Execute) : \text{UserInput} \to \text{Query}_{graph}$",4,3,4,3,4,P19,P99; P101; P117,,,yes
P105,Semantic Similarity Visualizer,pattern,stable,medium,1.1,,"$V_{sim} = (Concepts, Sim_{matrix}, Layout, Threshold) : \text{Set}\langle \text{Concept} \rangle \to \text{Similarity}_{visual}$",4,3,4,3,4,,P99; P101; P108,,,yes
P106,Auto-Updating Content,pattern,stable,medium,1.1,,"$ac = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P107,Suggested Edits,pattern,stable,medium,1.1,,"$E_{suggest} = (Content, Improvements, Confidence, Approval) : \text{Document} \to \text{Edits}_{suggested}$",4,3,4,3,4,,P47; P102; P109,,,yes
P108,Cross-Document Linking,pattern,stable,medium,1.1,,"$L_{cross} = (Docs, Relationships, Auto_{link}, Display) : \text{Set}\langle \text{Document} \rangle \to \text{Links}$",4,3,4,3,4,P9,P99; P103; P105,,,yes
P109,Outdated Content Detection,pattern,stable,medium,1.1,,"$D_{outdated} = (Content, Sources, Freshness, Alerts) : \text{Document} \to \text{Outdated}_{flags}$",4,3,4,3,4,,P100; P106; P107; P111,,,yes
P110,Collaborative Document Intelligence,pattern,stable,medium,1.1,,"$I_{collab} = (Agents, Document, Contributions, Coordination) : (\text{Agents}, \text{Doc}) \to \text{Doc}'$",4,3,4,3,4,P14,F5; P68; P107; P135,,,no
P111,Document Evolution Timeline,pattern,stable,medium,1.1,,"$T_{evol} = (Versions, Changes, Contributors, Timestamps) : \text{Document}_{history} \to \text{Timeline}$",4,3,4,3,4,C5,P109; P112; P113,,,yes
P112,Event Stream Visualization,pattern,stable,medium,1.1,,"$V_{stream} = (Events, Timeline, Filter, Aggregation) : \text{Event}_{stream} \to \text{Visualization}_{realtime}$",4,3,4,3,4,P22,P111; P114; P115; P117,,,yes
P113,Event Replay Control,pattern,stable,medium,1.1,,"$R_{replay} = (History, Selector, Playback, State_{restore}) : \text{Events}_{past} \to \text{Replay}$",4,3,4,3,4,P22,P30; P111; P115,,,yes
P114,Stream Backpressure,pattern,stable,medium,1.1,,"$B_{press} = (Stream, Buffer, Rate_{control}, Drop_{strategy}) : \text{Events}_{overwhelming} \to \text{Events}_{managed}$",4,3,4,3,4,P22,P112; P116,,,yes
P115,Event-Driven State Updates,pattern,stable,medium,1.1,,"$U_{event} = (State, Event_{stream}, Reducer, UI_{sync}) : (\text{State}, \text{Events}) \to \text{State}'$",4,3,4,3,4,P22; P29,P30; P31; P112; P113; P116,,,yes
P116,Multi-Stream Coordination UI,pattern,stable,medium,1.1,,"$C_{streams} = (Streams, Sync, Merge, Display) : \text{Set}\langle \text{Stream} \rangle \to \text{Unified}_{view}$",4,3,4,3,4,P22,P68; P114; P115; P117,,,yes
P117,Event Filter & Query,pattern,stable,medium,1.1,,"$Q_{event} = (Stream, Filters, Query_{language}, Results) : \text{Events} \to \text{Events}_{filtered}$",4,3,4,3,4,P22,P53; P104; P112; P116,,,yes
P118,Domain Context Switcher,pattern,stable,medium,1.1,,"$dcs = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P119,Cross-Domain Integration View,pattern,stable,medium,1.1,,"$V_{cross} = (Domains, Data_{integrated}, Relationships, Unified_{display}) : \text{Set}\langle \text{Domain} \rangle \to \text{View}$",4,3,4,3,4,,P118; P120; P122,,,no
P120,Domain-Specific Agent Activation,pattern,stable,medium,1.1,,"$daa = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,no
P121,Context Preservation Across Domains,pattern,stable,medium,1.1,,"$cpad = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P122,Multi-Domain Dashboard,pattern,stable,medium,1.1,,"$md = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P123,Domain Boundary Indicator,pattern,stable,medium,1.1,,"$dbi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P124,Agent Trace Viewer,pattern,stable,medium,1.1,,"$atv = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,yes
P125,Decision Explanation,pattern,stable,medium,1.1,,"$de = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P126,Token Usage Display,pattern,stable,medium,1.1,,"$tud = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P127,Error Debug Interface,pattern,stable,medium,1.1,,"$edi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P128,A/B Test Results,pattern,stable,medium,1.1,,"$atr = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P129,Performance Metrics Dashboard,pattern,stable,medium,1.1,,"$pmd = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P130,AI Agent Presence Indicator,pattern,stable,medium,1.1,,"$aapi = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,P68; P69,,,no
P131,Multi-User + AI Avatar,pattern,stable,medium,1.1,,"$m+aa = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P132,AI Cursor Sharing,pattern,stable,medium,1.1,,"$acs = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P133,Activity Feed,pattern,stable,medium,1.1,,"$af = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P134,Collaboration Session,pattern,stable,medium,1.1,,"$cs = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P135,Conflict Resolution Interface,pattern,stable,medium,1.1,,"$cri = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P136,User Preference Learning,pattern,stable,medium,1.1,,"$upl = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
P137,Adaptive Interface,pattern,stable,medium,1.1,,"$ai = (state, process, visualize, interact) : \text{Input} \to \text{Output}$",4,3,4,3,3,,,,,no
